"name","v1"
"Vital_E[15,18)",0.467073264918992
"Vital_E[18,20)",0.740681109742291
"Vital_E[20,22)",0.95673717103984
"Vital_E[22,)",1.31382327361038
"Age[49,59)",0.634592971797598
"Age[59,67)",1.07004575155418
"Age[67,75)",1.35927187778924
"Age[75,)",1.91514438011217
"Lab_H[1,2)",0.53217069618367
"Lab_H[2,3)",0.940623320187796
"Lab_H[3,)",1.51354381368128
"Lab_K[19,30)",0.549428993430259
"Lab_K[30,42)",0.850354167575486
"Lab_K[42,)",1.19833605643367
"Lab_K[8,19)",0.314705251344751
"Lab_B[11,13)",0.18787475283963
"Lab_B[13,15)",0.412318955082963
"Lab_B[15,17)",0.530727110475999
"Lab_B[17,)",0.850059220648284
"Vital_A[73,82)",0.501294438284548
"Vital_A[82,89)",0.683457442575325
"Vital_A[89,99)",0.855572583604795
"Vital_A[99,)",1.25883069518033
