"","V1"
"Vital_E[15,18)",0.467649977588787
"Vital_E[18,20)",0.744313030339452
"Vital_E[20,22)",0.958116532903215
"Vital_E[22,)",1.32980181741498
"Age[49,59)",0.650887777405115
"Age[59,67)",1.06828364330731
"Age[67,75)",1.37573367691053
"Age[75,)",1.93089666170915
"Lab_H[1,2)",0.537884552841521
"Lab_H[2,3)",0.933793488621924
"Lab_H[3,)",1.50921594844332
"Lab_K[19,30)",0.564665208431396
"Lab_K[30,42)",0.847255097587807
"Lab_K[42,)",1.2141547980592
"Lab_K[8,19)",0.330006804637146
"Lab_B[11,13)",0.203047957519748
"Lab_B[13,15)",0.414342082546737
"Lab_B[15,17)",0.534904997887341
"Lab_B[17,)",0.84433046389044
"Vital_A[73,82)",0.464498895615512
"Vital_A[82,89)",0.686049373318394
"Vital_A[89,99)",0.855074058886134
"Vital_A[99,)",1.26400682086079
