"","V1"
"Age[49,58)",0.479659052051615
"Age[58,67)",0.924828796872472
"Age[67,76)",1.2441940178131
"Age[76,)",1.75750243920692
"Vital_E[15,18)",0.524786224731644
"Vital_E[18,20)",0.845233391438326
"Vital_E[20,22)",1.01553812701611
"Vital_E[22,)",1.49804624224308
"Lab_H[1,2)",0.482922656175568
"Lab_H[2,3)",0.90780105480242
"Lab_H[3,)",1.50270494127507
"Lab_K[20,30)",0.570928981705452
"Lab_K[30,42)",0.724705304932423
"Lab_K[42,)",1.0951502113124
"Lab_K[8,20)",0.213534159823361
"Lab_B[11,13)",0.247426358009697
"Lab_B[13,15)",0.609800489551997
"Lab_B[15,17)",0.675881097453388
"Lab_B[17,)",1.06372504006293
"Vital_A[72,81)",0.516451923887149
"Vital_A[81,89)",0.60698563434901
"Vital_A[89,98)",0.877651490135706
"Vital_A[98,)",1.19222602666701
"Lab_G[11,13)",-0.331276735739034
"Lab_G[13,)",-0.5320802867592
"Lab_G[9,11)",-0.0664548287312747
"Lab_M[10,14)",0.186519197340816
"Lab_M[14,19)",0.26316869956819
"Lab_M[19,)",0.462164400745029
"Lab_M[4,10)",0.141596771127034
"Vital_C[52,58)",-0.126745911149666
"Vital_C[58,64)",-0.38757495633269
"Vital_C[64,70)",-0.431640202772792
"Vital_C[70,)",-0.630820547177077
"Lab_F[28,31)",-0.165953647326818
"Lab_F[31,34)",-0.0725512445186526
"Lab_F[34,37)",-0.0333669604904999
"Lab_F[37,)",-0.0410350477331244
