"","V1"
"Age[49,58)",0.542354616142967
"Age[58,67)",1.05100002687492
"Age[67,76)",1.35160955361911
"Age[76,)",1.93246034949006
"Vital_E[15,18)",0.469428735572986
"Vital_E[18,20)",0.79428074698768
"Vital_E[20,22)",0.938878673029726
"Vital_E[22,)",1.42493209820954
"Lab_H[1,2)",0.51016724425931
"Lab_H[2,3)",0.942411275505878
"Lab_H[3,)",1.51067192999663
"Lab_K[20,30)",0.626089317652389
"Lab_K[30,42)",0.853686102943921
"Lab_K[42,)",1.26548055768891
"Lab_K[8,20)",0.324165684948492
"Lab_B[11,13)",0.181750708694718
"Lab_B[13,15)",0.48456193896291
"Lab_B[15,17)",0.530714233868044
"Lab_B[17,)",0.872069065305725
"Vital_A[72,81)",0.420754540929367
"Vital_A[81,89)",0.622179328622623
"Vital_A[89,98)",0.827490400994221
"Vital_A[98,)",1.14205457659374
